,Country,mean_rates
1,Albania,3.502878788
2,Antigua and Barbuda,0.552901235
3,Argentina,10.46932796
4,Armenia,3.275872483
5,Aruba,9.503095238
6,Australia,12.99280556
7,Austria,23.7597644
8,Azerbaijan,1.855416667
9,Bahamas,1.247391304
10,Bahrain,1.854126984
11,Barbados,2.970433333
12,Belarus,31.0759127
13,Belgium,21.23790323
14,Belize,6.230625
15,Bosnia and Herzegovina,4.617083333
16,Brazil,5.846021505
17,Bulgaria,19.48911111
18,Cabo Verde,11.15333333
19,Canada,12.46758621
20,Chile,10.54204301
21,Colombia,5.401586022
22,Costa Rica,7.093666667
23,Croatia,22.83526718
24,Cuba,21.22204861
25,Cyprus,3.293595506
26,Czech Republic,18.48754658
27,Denmark,14.09715909
28,Dominica,0
29,Ecuador,6.304327957
30,El Salvador,10.54145833
31,Estonia,27.27690476
32,Fiji,5.105
33,Finland,22.77043103
34,France,21.67569444
35,Georgia,4.228712121
36,Germany,15.55990385
37,Greece,4.06483871
38,Grenada,2.132258065
39,Guatemala,3.185277778
40,Guyana,22.1864
41,Hungary,32.76151613
42,Iceland,12.80036649
43,Ireland,10.78258333
44,Israel,8.951532258
45,Italy,8.518467742
46,Jamaica,0.521764706
47,Japan,21.57319892
48,Kazakhstan,30.51128205
49,Kiribati,6.655378788
50,Kuwait,1.186433333
51,Kyrgyzstan,14.28621795
52,Latvia,29.2593254
53,Lithuania,40.41557252
54,Luxembourg,16.54989247
55,Macau,14.31166667
56,Maldives,1.367333333
57,Malta,5.032284946
58,Mauritius,11.6873822
59,Mexico,4.7075
60,Mongolia,18.439
61,Montenegro,9.95025
62,Netherlands,10.64534031
63,New Zealand,14.39172414
64,Nicaragua,6.566944444
65,Norway,12.941
66,Oman,0.736111111
67,Panama,5.813533333
68,Paraguay,4.217191358
69,Philippines,2.421277778
70,Poland,15.26951389
71,Portugal,11.33753086
72,Puerto Rico,10.18623656
73,Qatar,1.787359551
74,Korea,25.13561828
75,Romania,12.48967066
76,Russia,34.89237654
77,Saint Kitts and Nevis,0
78,Saint Lucia,7.202738095
79,Saint Vincent and Grenadines,5.755433333
80,San Marino,4.045
81,Serbia,22.16412037
82,Seychelles,7.480092593
83,Singapore,17.04564516
84,Slovakia,12.56878788
85,Slovenia,27.82785714
86,South Africa,0.964541667
87,Spain,9.432956989
88,Sri Lanka,35.29515152
89,Suriname,21.31642857
90,Sweden,14.65843575
91,Switzerland,19.0240873
92,Thailand,7.073862275
93,Trinidad and Tobago,13.82564815
94,Turkey,2.371071429
95,Turkmenistan,8.605545977
96,Ukraine,26.58232143
97,United Arab Emirates,1.317916667
98,United Kingdom,7.502473118
99,United States of America of America of America,13.81981183
100,Uruguay,19.46119048
101,Uzbekistan,8.099128788
